Customer_ID,Age,Gender,Purchase_Amount_USD,Location,Category,Season,Review_Rating,Previous_Purchases,Subscription_Status,Discount_Applied,Promo_Code_Used,Payment_Method,Frequency_of_Purchases,customer_segment,customer_type
1,55,Male,53,Kentucky,Clothing,Winter,3.09999990463257,14,Yes,Yes,Yes,Venmo,Fortnightly,Medium Value,Regular
2,19,Male,64,Maine,Clothing,Winter,3.09999990463257,2,Yes,Yes,Yes,Cash,Fortnightly,Medium Value,New
3,50,Male,73,Massachusetts,Clothing,Spring,3.09999990463257,23,Yes,Yes,Yes,Credit Card,Weekly,Medium Value,Regular
4,21,Male,90,Rhode Island,Footwear,Spring,3.5,49,Yes,Yes,Yes,PayPal,Weekly,High Value,Loyal
5,45,Male,49,Oregon,Clothing,Spring,2.70000004768372,31,Yes,Yes,Yes,PayPal,Annually,Low Value,Loyal
6,46,Male,20,Wyoming,Footwear,Summer,2.90000009536743,14,Yes,Yes,Yes,Venmo,Weekly,Low Value,Regular
7,63,Male,85,Montana,Clothing,Fall,3.20000004768372,49,Yes,Yes,Yes,Cash,Quarterly,High Value,Loyal
8,27,Male,34,Louisiana,Clothing,Winter,3.20000004768372,19,Yes,Yes,Yes,Credit Card,Weekly,Low Value,Regular
9,26,Male,97,West Virginia,Outerwear,Summer,2.59999990463257,8,Yes,Yes,Yes,Venmo,Annually,High Value,New
10,57,Male,31,Missouri,Accessories,Spring,4.80000019073486,4,Yes,Yes,Yes,Cash,Quarterly,Low Value,New
11,53,Male,34,Arkansas,Footwear,Fall,4.09999990463257,26,Yes,Yes,Yes,Bank Transfer,Bi-Weekly,Low Value,Regular
12,30,Male,68,Hawaii,Clothing,Winter,4.90000009536743,10,Yes,Yes,Yes,Bank Transfer,Fortnightly,Medium Value,Regular
13,61,Male,72,Delaware,Outerwear,Winter,4.5,37,Yes,Yes,Yes,Venmo,Fortnightly,Medium Value,Loyal
14,65,Male,51,New Hampshire,Clothing,Spring,4.69999980926514,31,Yes,Yes,Yes,PayPal,Weekly,Medium Value,Loyal
15,64,Male,53,New York,Outerwear,Winter,4.69999980926514,34,Yes,Yes,Yes,Debit Card,Weekly,Medium Value,Loyal
16,64,Male,81,Rhode Island,Clothing,Winter,2.79999995231628,8,Yes,Yes,Yes,PayPal,Monthly,High Value,New
17,25,Male,36,Alabama,Accessories,Spring,4.09999990463257,44,Yes,Yes,Yes,Debit Card,Bi-Weekly,Low Value,Loyal
18,53,Male,38,Mississippi,Clothing,Winter,4.69999980926514,36,Yes,Yes,Yes,Venmo,Quarterly,Low Value,Loyal
19,52,Male,48,Montana,Clothing,Summer,4.59999990463257,17,Yes,Yes,Yes,Cash,Weekly,Low Value,Regular
20,66,Male,90,Rhode Island,Clothing,Summer,3.29999995231628,46,Yes,Yes,Yes,Debit Card,Bi-Weekly,High Value,Loyal
21,21,Male,51,Louisiana,Clothing,Winter,2.79999995231628,50,Yes,Yes,Yes,Cash,Every 3 Months,Medium Value,Loyal
